"2","Scary Cult Movies from the 1980s"
"5","LGBTQ Psychological Movies"
"7","Showbiz Movies based on real life"
"11","Military Dramas"
"15","Suspenseful British Independent Movies"
"16","Understated Biographical Documentaries"
"24","Eastern European Crime Dramas"
"26","Mockumentaries"
"30","Tearjerkers from the 1980s"
"36","Imaginative Children & Family Movies from the 1980s"
"39","Suspenseful Courtroom Movies based on Books"
"42","Suspenseful Action & Adventure"
"49","Critically-acclaimed Emotional Dramas from the 1980s"
"60","Sci-Fi & Fantasy for ages 11 to 12"
"61","Australian Movies for ages 3 to 4"
"66","Suspenseful Sci-Fi & Fantasy"
"69","Movies starring Shammi Kapoor"
"73","Critically-acclaimed Gritty British Movies"
"80","Courtroom Thrillers"
"82","Suspenseful Political Movies"
"83","TV Shows"
"85","Romantic Filipino Movies"
"87","Quirky Adventures"
"89","Critically-acclaimed Cerebral Independent Movies"
"93","Goofy Adventures"
"94","Chinese LGBTQ Movies"
"95","Critically-acclaimed Cerebral Crime Dramas"
"98","Romantic French-Language Comedies"
"105","Mexican Comedies"
"116","Comedies directed by David Zucker"
"118","Exciting Movies starring Steven Seagal"
"120","Understated Political Movies"
"127","Cerebral Biographical Dramas"
"129","Latino Movies"
"134","Comedies starring Nicolas Cage"
"140","Chinese Sci-Fi & Fantasy"
"141","Critically-acclaimed Feel-good Movies from the 1980s"
"144","Dramas starring Jackie Shroff"
"146","Romantic Teen Coming-of-age Comedies"
"147","Quirky Independent Comedies"
"149","Movies starring Ben Stiller"
"153","Gritty Documentaries"
"159","Thrillers based on real life"
"160","Heartfelt Independent Dramas"
"161","Gory Crime Movies"
"171","Thrillers starring Al Pacino"
"172","Movies directed by Chris Columbus"
"173","Movies starring Gwyneth Paltrow"
"180","Sports Documentaries"
"193","Cult Sci-Fi & Fantasy from the 1980s"
"194","Movies starring Arnold Schwarzenegger"
"200","Critically-acclaimed Military Action & Adventure"
"203","Critically-acclaimed Tearjerkers"
"204","Comedies starring Meg Ryan"
"211","Goofy Action & Adventure"
"215","Movies starring Nana Patekar"
"219","Movies starring Simon Yam"
"222","LGBTQ Action & Adventure"
"230","Understated Biographical Movies"
"232","Dark Independent Dramas"
"239","Suspenseful Movies starring Denzel Washington"
"243","Goofy Movies for ages 5 to 7"
"247","Gritty Mysteries"
"253","Exciting Sci-Fi & Fantasy"
"258","Goofy Cult Movies"
"260","Imaginative Comedies"
"262","Belgian Movies"
"264","Visually-striking Mind-bending Dramas"
"265","Gritty Westerns"
"269","Gory Psychological Horror Movies"
"271","British Military Dramas"
"276","Gritty Tearjerkers"
"277","Movies starring Susan Sarandon"
"280","Visually-striking Irreverent Movies"
"293","Imaginative Independent Dramas"
"295","Raunchy Satires"
"300","Goofy Detective Movies"
"302","Critically-acclaimed Social Issue Dramas"
"304","Feel-good Movies for ages 8 to 10"
"308","French-Language Coming-of-age Dramas"
"311","Gory Psychological Movies"
"312","Imaginative Children & Family Movies"
"313","Quirky Satires"
"318","Movies starring Christina Ricci"
"321","Romantic Political Movies"
"323","Emotional Comedies"
"325","Critically-acclaimed Witty Dramas"
"327","Movies starring George Clooney"
"330","Romantic Teen Dramas"
"342","Documentaries from the 1940s"
